Source_System,Source_Record_ID,Full_Name,Date_of_Birth,Phone,Email,Address,City,Name_Norm,Phone_Norm,Email_Norm,Address_Norm,Birth_Year,Exact_Candidates,Exact_Match_Count,Match_Customer_ID,Match_Score,Match_Decision
Core Banking,CO_0000001,Vina Nugroho,1990-06-27,8784919414,customer000729@example.com,Jl. Merdeka No. 77,Bekasi,VINA NUGROHO,8784919414,customer000729@example.com,JL MERDEKA NO 77,1990,[np.int64(728)],1,C000729,1.0,Auto Match
Core Banking,CO_0000002,BUDI SETIAWAN,2011-06-14,8750074170,customer001706@example.com,JL. GATOT SUBROTO NO. 52,Semarang,BUDI SETIAWAN,8750074170,customer001706@example.com,JL GATOT SUBROTO NO 52,2011,[np.int64(1705)],1,C001706,1.0,Auto Match
Core Banking,CO_0000003,Maya Pratama,2002-12-18,8346204317,customer001197@example.com,Jl. Diponegoro No. 12,Semarang,MAYA PRATAMA,8346204317,customer001197@example.com,JL DIPONEGORO NO 12,2002,[np.int64(1196)],1,C001197,1.0,Auto Match
Core Banking,CO_0000004,1wanWijaya,2016-04-28,8893667427,customer001685@example.com,Jl. Ahmad Yani No. 59,Makassar,1WANWIJAYA,8893667427,customer001685@example.com,JL AHMAD YANI NO 59,2016,[np.int64(1684)],1,C001685,0.9642857142857144,Auto Match
Core Banking,CO_0000005,RINA SETIAWAN,2001-06-09,8201444022,customer000544@example.com,JL. AHMAD YANI NO. 136,Bekasi,RINA SETIAWAN,8201444022,customer000544@example.com,JL AHMAD YANI NO 136,2001,[np.int64(543)],1,C000544,1.0,Auto Match
Core Banking,CO_0000006,RinaRamadhan,2010-04-09,8608601450,customer000829@example.com,Jl. Sudirman No. 143,Bogor,RINARAMADHAN,8608601450,customer000829@example.com,JL SUDIRMAN NO 143,2010,[np.int64(828)],1,C000829,0.9900000000000001,Auto Match
Core Banking,CO_0000007,Gita Nugroho,2003-05-28,8217761808,customer000400@example.com,Jl. Ahmad Yani No. 136,Bekasi,GITA NUGROHO,8217761808,customer000400@example.com,JL AHMAD YANI NO 136,2003,[np.int64(399)],1,C000400,1.0,Auto Match
Core Banking,CO_0000008,Hana Pratama,1996-06-11,8383152069,customer000587@example.com,Jl. Merdeka No. 77,Bandung,HANA PRATAMA,8383152069,customer000587@example.com,JL MERDEKA NO 77,1996,[np.int64(586)],1,C000587,1.0,Auto Match
Core Banking,CO_0000009,Karin Ramadhan,2009-02-22,844555663,customer000334@example.com,JL. AHMAD YANI NO. 122,Jakarta,KARIN RAMADHAN,844555663,customer000334@example.com,JL AHMAD YANI NO 122,2009,[np.int64(333)],1,C000334,0.986842105263158,Auto Match
Core Banking,CO_0000010,Maya Lestari,1990-12-25,628608429944,customer001092@example.com,Jl. Diponegoro No. 106,Surabaya,MAYA LESTARI,08608429944,customer001092@example.com,JL DIPONEGORO NO 106,1990,[np.int64(1091)],1,C001092,0.9880952380952381,Auto Match
Core Banking,CO_0000011,Gita Kurniawan,1999-09-25,628189938627,customer000890@example.com,Jl. Gatot Subroto No. 138,Bandung,GITA KURNIAWAN,08189938627,customer000890@example.com,JL GATOT SUBROTO NO 138,1999,[np.int64(889)],1,C000890,0.9880952380952381,Auto Match
Core Banking,CO_0000012,Rina Kurniawan,2009-12-19,62833143542,customer000443@example.com,Jl. Merdeka No. 149,Medan,RINA KURNIAWAN,0833143542,customer000443@example.com,JL MERDEKA NO 149,2009,[np.int64(442)],1,C000443,0.9750000000000001,Auto Match
Core Banking,CO_0000013,IWAN RAMADHAN,1997-06-22,8705689047,customer000577@examplecom,Jl. Ahmad Yani No. 171,Tangerang,IWAN RAMADHAN,8705689047,customer000577@examplecom,JL AHMAD YANI NO 171,1997,[np.int64(576)],1,C000577,0.9941176470588236,Auto Match
Core Banking,CO_0000014,VinaSetiawan,2008-04-05,8453439052,customer001083@example.com,Jl. Gatot Subroto No. 57,Jakarta,VINASETIAWAN,8453439052,customer001083@example.com,JL GATOT SUBROTO NO 57,2008,[np.int64(1082)],1,C001083,0.9900000000000001,Auto Match
Core Banking,CO_0000015,OscarPratama,2002-03-10,628228780865,customer001547@example.com,Jl. Merdeka No. 184,Tangerang,OSCARPRATAMA,08228780865,customer001547@example.com,JL MERDEKA NO 184,2002,[np.int64(1546)],1,C001547,0.9780952380952381,Auto Match
Core Banking,CO_0000016,TonoWijaya,2016-04-23,8646943864,customer001393@examplecom,Jalan Ahmad Yani No. 141,Tangerang,TONOWIJAYA,8646943864,customer001393@examplecom,JL AHMAD YANI NO 141,2016,[np.int64(1392)],1,C001393,0.9822128851540616,Auto Match
Core Banking,CO_0000017,Nanda Kurniawan,1998-06-13,8649801124,customer000862@example.com,Jalan Sudirman No. 25,Semarang,NANDA KURNIAWAN,8649801124,customer000862@example.com,JL SUDIRMAN NO 25,1998,[np.int64(861)],1,C000862,1.0,Auto Match
Core Banking,CO_0000018,Lina Saputra,1994-01-07,8555377952,customer001173@examplecom,Jl. Ahmad Yani No. 124,Depok,LINA SAPUTRA,8555377952,customer001173@examplecom,JL AHMAD YANI NO 124,1994,[np.int64(1172)],1,C001173,0.9941176470588236,Auto Match
Core Banking,CO_0000019,G1T4 W1J4Y4,2009-03-31,8676851104,customer000679@example.com,JL. DIPONEGORO NO. 62,Bekasi,G1T4 W1J4Y4,8676851104,customer000679@example.com,JL DIPONEGORO NO 62,2009,[np.int64(678)],1,C000679,0.8863636363636365,Auto Match
Core Banking,CO_0000020,KARINPERMATA,1993-02-01,8820641675,customer001475@example.com,Jalan Gatot Subroto No. 89,Makassar,KARINPERMATA,8820641675,customer001475@example.com,JL GATOT SUBROTO NO 89,1993,[np.int64(1474)],1,C001475,0.9900000000000001,Auto Match
Core Banking,CO_0000021,Vina Setiawan,2003-12-31,8323152292,customer000431@examplecom,Jalan Sudirman No. 152,Tangerang,VINA SETIAWAN,8323152292,customer000431@examplecom,JL SUDIRMAN NO 152,2003,[np.int64(430)],1,C000431,0.9941176470588236,Auto Match
Core Banking,CO_0000022,Fajar Santoso,1995-10-10,8588289663,customer001660@example.com,JALAN GATOT SUBROTO NO. 152,Bandung,FAJAR SANTOSO,8588289663,customer001660@example.com,JL GATOT SUBROTO NO 152,1995,[np.int64(1659)],1,C001660,1.0,Auto Match
Core Banking,CO_0000023,Joko Nugroho,1998-03-06,8864786560,customer000551@examplecom,Jalan Gatot Subroto No. 188,Jakarta,JOKO NUGROHO,8864786560,customer000551@examplecom,JL GATOT SUBROTO NO 188,1998,[np.int64(550)],1,C000551,0.9941176470588236,Auto Match
Core Banking,CO_0000024,RinaSaputra,2016-02-25,8314898977,customer000146@example.com,Jl. Sudirman No. 63,Tangerang,RINASAPUTRA,8314898977,customer000146@example.com,JL SUDIRMAN NO 63,2016,[np.int64(145)],1,C000146,0.9891304347826088,Auto Match
Core Banking,CO_0000025,Andi Setiawan,2014-04-26,8923857242,customer001131@example.com,Jl. Sudirman No. 160,Depok,ANDI SETIAWAN,8923857242,customer001131@example.com,JL SUDIRMAN NO 160,2014,[np.int64(1130)],1,C001131,1.0,Auto Match
Core Banking,CO_0000026,KarinSetiawan,2014-08-03,8389146284,customer000668@example.com,JL. SUDIRMAN NO. 99,Makassar,KARINSETIAWAN,8389146284,customer000668@example.com,JL SUDIRMAN NO 99,2014,[np.int64(667)],1,C000668,0.9907407407407408,Auto Match
Core Banking,CO_0000027,Sari Pratama,2015-06-22,628746358211,customer001337@examplecom,Jalan Gatot Subroto No. 36,Bogor,SARI PRATAMA,08746358211,customer001337@examplecom,JL GATOT SUBROTO NO 36,2015,[np.int64(1336)],1,C001337,0.9822128851540616,Auto Match
Core Banking,CO_0000028,LINA SANTOSO,2006-07-01,628577723444,customer001019@example.com,Jl. Diponegoro No. 136,Semarang,LINA SANTOSO,08577723444,customer001019@example.com,JL DIPONEGORO NO 136,2006,[np.int64(1018)],1,C001019,0.9880952380952381,Auto Match
Core Banking,CO_0000029,Fajar Siregar,2009-10-02,628661868132,customer000715@example.com,Jl. Merdeka No. 2,Surabaya,FAJAR SIREGAR,08661868132,customer000715@example.com,JL MERDEKA NO 2,2009,[np.int64(714)],1,C000715,0.9880952380952381,Auto Match
Core Banking,CO_0000030,Gita Lestari,1996-05-12,62824560421,customer000120@example.com,Jl. Merdeka No. 109,Bandung,GITA LESTARI,0824560421,customer000120@example.com,JL MERDEKA NO 109,1996,[np.int64(119)],1,C000120,0.9750000000000001,Auto Match
Core Banking,CO_0000031,Budi Nugroho,2001-07-16,8683167037,customer001159@example.com,Jl. Ahmad Yani No. 196,Jakarta,BUDI NUGROHO,8683167037,customer001159@example.com,JL AHMAD YANI NO 196,2001,[np.int64(1158)],1,C001159,1.0,Auto Match
Core Banking,CO_0000032,LINA KURNIAWAN,2012-08-16,827370678,customer000712@example.com,Jalan Diponegoro No. 173,Surabaya,LINA KURNIAWAN,827370678,customer000712@example.com,JL DIPONEGORO NO 173,2012,[np.int64(711)],1,C000712,0.986842105263158,Auto Match
Core Banking,CO_0000033,OSCAR HIDAYAT,1994-02-11,628191607389,customer001028@example.com,Jl. Diponegoro No. 146,Bandung,OSCAR HIDAYAT,08191607389,customer001028@example.com,JL DIPONEGORO NO 146,1994,[np.int64(1027)],1,C001028,0.9880952380952381,Auto Match
Core Banking,CO_0000034,Sari Saputra,2000-03-16,8183229613,customer001046@example.com,Jl. Diponegoro No. 59,Makassar,SARI SAPUTRA,8183229613,customer001046@example.com,JL DIPONEGORO NO 59,2000,[np.int64(1045)],1,C001046,1.0,Auto Match
Core Banking,CO_0000035,Karin Hidayat,1998-07-19,62864024595,customer001656@example.com,JL. AHMAD YANI NO. 53,Bandung,KARIN HIDAYAT,0864024595,customer001656@example.com,JL AHMAD YANI NO 53,1998,[np.int64(1655)],1,C001656,0.9750000000000001,Auto Match
Core Banking,CO_0000036,Eko Siregar,2002-11-26,8977050802,customer000327@example.com,Jl. Merdeka No. 192,Tangerang,EKO SIREGAR,8977050802,customer000327@example.com,JL MERDEKA NO 192,2002,[np.int64(326)],1,C000327,1.0,Auto Match
Core Banking,CO_0000037,Budi Nugroho,2010-09-13,8388605779,customer001013@example.com,Jl. Merdeka No. 151,Bekasi,BUDI NUGROHO,8388605779,customer001013@example.com,JL MERDEKA NO 151,2010,[np.int64(1012)],1,C001013,1.0,Auto Match
Core Banking,CO_0000038,FAJAR KURNIAWAN,2014-02-23,8784857680,customer000649@example.com,JALAN MERDEKA NO. 29,Tangerang,FAJAR KURNIAWAN,8784857680,customer000649@example.com,JL MERDEKA NO 29,2014,[np.int64(648)],1,C000649,1.0,Auto Match
Core Banking,CO_0000039,Eko Permata,2012-10-28,628650234586,customer001344@example.com,Jl. Diponegoro No. 52,Bandung,EKO PERMATA,08650234586,customer001344@example.com,JL DIPONEGORO NO 52,2012,[np.int64(1343)],1,C001344,0.9880952380952381,Auto Match
Core Banking,CO_0000040,VINARAMADHAN,2006-08-21,628759818983,customer000325@example.com,JL. SUDIRMAN NO. 63,Depok,VINARAMADHAN,08759818983,customer000325@example.com,JL SUDIRMAN NO 63,2006,[np.int64(324)],1,C000325,0.9780952380952381,Auto Match
Core Banking,CO_0000041,NANDA PRATAMA,1997-03-03,8516772796,customer000980@example.com,JL. MERDEKA NO. 183,Makassar,NANDA PRATAMA,8516772796,customer000980@example.com,JL MERDEKA NO 183,1997,[np.int64(979)],1,C000980,1.0,Auto Match
