Document_ID,Customer_ID,NIK_Extracted,Customer_Name_Extracted,Employer_Extracted,Monthly_Income_Extracted,Account_Number_Extracted,Loan_Amount_Extracted,OCR_Confidence
DOC0001115,C000506,1712188267305844,ANDI SANTOSO,PT Maju Jaya,33433000.0,9258522692,336700000.0,0.902
DOC0000665,C000236,6046036920268097,Fajar Nugroho,CV Sejahtera,21917000.0,1399663032,115400000.0,0.901
DOC0000019,C000252,1589748703883202,BUDI WIJAYA,PT Nusantara,20043000.0,4678134857,794000000.0,0.952
DOC0000026,C000186,8080261289755750,Fajar Nugroho,PT Maju Jaya,7340000.0,9354086163,520100000.0,0.716
DOC0001106,C000585,9250303516857684,Fajar Nugroho,PT Nusantara,5681000.0,8089803311,180200000.0,0.797
DOC0000857,C000335,4123618000715610,EKO SAPUTRA,PT Digital Indonesia,19409000.0,3895191179,541200000.0,0.818
DOC0000421,C000152,7193330213868599,EKO SAPUTRA,PT Digital Indonesia,34360000.0,4020380644,389400000.0,1.0
DOC0001060,C000022,1837694452173065,ANDI SANTOSO,PT Nusantara,9008000.0,8379732389,435500000.0,0.846
DOC0001141,C000187,3002701248915469,BUDI WIJAYA,CV Sejahtera,31060000.0,5154619295,328400000.0,0.866
DOC0001182,C000420,5323330140797040,DEWI PRATAMA,PT Maju Jaya,42763000.0,7572612411,591400000.0,1.0
DOC0001092,C000501,9858296055609359,CITRA LESTARI,PT Bank ABC,23578000.0,5479001445,395400000.0,0.955
DOC0000170,C000255,6567414196198813,DEWI PRATAMA,CV Sejahtera,38964000.0,6482801438,769200000.0,0.786
DOC0000568,C000596,3314774628321276,Fajar Nugroho,PT Maju Jaya,18674000.0,3536235210,530200000.0,0.822
DOC0000146,C000427,1232761622711484,DEWI PRATAMA,PT Nusantara,34938000.0,5463922186,511400000.0,0.871
DOC0000039,C000487,3050146239884248,Fajar Nugroho,PT Bank ABC,9703000.0,1448591896,582900000.0,0.994
DOC0000261,C000473,4110237572605981,ANDI SANTOSO,PT Maju Jaya,23729000.0,5698950750,778700000.0,1.0
DOC0000195,C000245,3071376057483462,ANDI SANTOSO,PT Maju Jaya,44399000.0,3928318956,696700000.0,0.986
DOC0000256,C000285,6509731958488101,CITRA LESTARI,PT Nusantara,28667000.0,2462798693,263400000.0,0.896
DOC0000317,C000088,9123472985489229,ANDI SANTOSO,CV Sejahtera,31497000.0,5388314299,411400000.0,0.883
DOC0000750,C000698,4608337443908373,ANDI SANTOSO,PT Digital Indonesia,5563000.0,7782699526,788500000.0,0.821
DOC0000572,C000688,5176594269117175,DEWI PRATAMA,PT Bank ABC,29002000.0,5681602533,229000000.0,0.738
DOC0000337,C000205,3642472935474126,BUDI WIJAYA,PT Digital Indonesia,10139000.0,2462736277,771000000.0,0.969
DOC0000932,C000349,6632505237757458,Fajar Nugroho,CV Sejahtera,18112000.0,3209795193,603800000.0,1.0
DOC0000518,C000292,1057257751004973,ANDI SANTOSO,PT Digital Indonesia,19694000.0,9832558472,794500000.0,0.949
DOC0001060,C000521,4002576485432893,BUDI WIJAYA,PT Bank ABC,9571000.0,1441442683,665800000.0,1.0
DOC0000319,C000481,1593292501140912,CITRA LESTARI,PT Digital Indonesia,35199000.0,6374422781,730200000.0,1.0
DOC0000264,C000555,8089706467928394,EKO SAPUTRA,PT Digital Indonesia,17270000.0,3658664424,410100000.0,0.914
DOC0000573,C000672,4280275537992975,CITRA LESTARI,PT Maju Jaya,20438000.0,8457541093,216100000.0,0.831
DOC0000386,C000437,2883980970073258,EKO SAPUTRA,PT Maju Jaya,33641000.0,9100099885,331800000.0,0.978
DOC0000877,C000377,8651657143368026,EKO SAPUTRA,PT Maju Jaya,45122000.0,7430079123,391700000.0,0.946
DOC0000301,C000106,7811697491334767,ANDI SANTOSO,CV Sejahtera,44478000.0,6592135965,492700000.0,0.944
DOC0000485,C000645,9332767587584939,BUDI WIJAYA,PT Nusantara,38057000.0,9927104863,396800000.0,0.976
DOC0000727,C000664,6044835099398543,Fajar Nugroho,CV Sejahtera,24478000.0,1715776322,342000000.0,0.871
DOC0000263,C000283,4530776416367541,ANDI SANTOSO,PT Digital Indonesia,31871000.0,9406370727,532300000.0,0.864
DOC0000128,C000071,6129864477457220,BUDI WIJAYA,PT Nusantara,33835000.0,5188578940,679700000.0,0.866
DOC0000913,C000010,6041917638862381,BUDI WIJAYA,PT Bank ABC,17854000.0,6142208577,162200000.0,0.849
DOC0001140,C000178,1859537176589751,EKO SAPUTRA,PT Bank ABC,39028000.0,3542132166,134400000.0,0.954
DOC0000560,C000518,1535031838954176,DEWI PRATAMA,PT Nusantara,23706000.0,6410507534,510400000.0,0.943
DOC0000451,C000036,8454481833488963,DEWI PRATAMA,PT Nusantara,18875000.0,5934320029,475500000.0,0.943
DOC0000701,C000295,2802086402701477,Fajar Nugroho,PT Digital Indonesia,6199000.0,6193427307,337700000.0,0.961
DOC0000077,C000441,5562989362015860,EKO SAPUTRA,PT Digital Indonesia,32402000.0,7541961907,558300000.0,0.987
DOC0000684,C000243,1628923271335949,DEWI PRATAMA,PT Digital Indonesia,44959000.0,5022766020,515600000.0,0.93
DOC0000476,C000196,8349373422020462,EKO SAPUTRA,CV Sejahtera,35030000.0,7937619260,714200000.0,1.0
DOC0000649,C000535,2955846807859534,DEWI PRATAMA,PT Nusantara,34255000.0,2572095635,288400000.0,0.948
DOC0001165,C000699,9351850600498865,CITRA LESTARI,PT Bank ABC,22700000.0,5631636935,712700000.0,0.869
DOC0000424,C000335,8603648414537679,DEWI PRATAMA,PT Maju Jaya,13958000.0,2900592279,600800000.0,0.874
DOC0000014,C000387,7011568822805023,EKO SAPUTRA,PT Bank ABC,28872000.0,6959823708,434400000.0,0.98
DOC0000908,C000465,2139952185199374,CITRA LESTARI,PT Maju Jaya,30492000.0,6813987134,293500000.0,1.0
DOC0000966,C000491,7631427373267809,CITRA LESTARI,PT Digital Indonesia,13518000.0,9782659304,72400000.0,0.887
DOC0000342,C000369,8032807256924596,DEWI PRATAMA,PT Nusantara,28565000.0,4965474017,560300000.0,1.0
DOC0000914,C000097,5090653618524995,DEWI PRATAMA,CV Sejahtera,26389000.0,6000184577,245200000.0,0.907
DOC0000214,C000540,9534880538612855,DEWI PRATAMA,PT Nusantara,24299000.0,3689230252,577400000.0,0.876
DOC0000306,C000494,4130930798918362,BUDI WIJAYA,PT Maju Jaya,26377000.0,3255386827,646800000.0,0.967
DOC0000711,C000659,2610798612313635,BUDI WIJAYA,PT Digital Indonesia,26016000.0,9760448769,705500000.0,0.871
DOC0000461,C000411,3120492111380335,Fajar Nugroho,CV Sejahtera,15126000.0,6587877641,458300000.0,0.964
DOC0000189,C000141,1741733116357121,ANDI SANTOSO,CV Sejahtera,29897000.0,9775146949,451400000.0,0.913
DOC0001135,C000256,4219848012538479,Fajar Nugroho,CV Sejahtera,16211000.0,6745689558,606400000.0,0.907
DOC0000161,C000699,9142075430105638,Fajar Nugroho,PT Digital Indonesia,30129000.0,9521827762,711300000.0,0.833
DOC0000935,C000278,1971938031841549,ANDI SANTOSO,PT Digital Indonesia,7316000.0,2909505692,562000000.0,0.923
DOC0001118,C000683,6629845146264564,DEWI PRATAMA,PT Nusantara,28640000.0,2675462205,586800000.0,0.779
DOC0000161,C000399,8266500901235248,BUDI WIJAYA,PT Nusantara,28634000.0,9396835838,711100000.0,0.835
DOC0001022,C000123,6647786729409447,Fajar Nugroho,CV Sejahtera,16467000.0,5598994730,96100000.0,0.806
DOC0000639,C000023,3360854594496499,EKO SAPUTRA,PT Maju Jaya,24069000.0,6751349889,771000000.0,0.864
DOC0000553,C000379,3122436042562750,Fajar Nugroho,PT Maju Jaya,37621000.0,1797507943,789300000.0,1.0
